date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-02-09,-2.9,-9.77,-9.29,-15.7,,-25,88,81.1,77.5,67,-7.9,-12.5,-12.8,-17.7,27,18.25,18.5,10,32,23,103.06,102.7,102.53,102.01,96.68,96.33,96.19,95.7,24100,24100,24100,24100,3.5,3,3.1,2.7,27.3,0,0,0,0,0,,,20,08:34:00,18:08:00,9.57,8.57,18.13,1,1,-5,-4,-10,-9,,,,,,7,2,3.5,0,,,,
2023-02-08,-1.8,-4.99,-7.5,-13.2,,-21,91,79.3,79,67,-5,-8.1,-10.2,-15.3,25,14.46,14,3,33,3,102.92,101.83,101.99,101.05,96.56,95.58,95.72,94.87,24100,24100,24100,24100,4.2,3.2,3.4,2.6,25.5,0,0,0,0,0,,,20,08:36:00,18:06:00,9.5,8.6,18.1,,,-2,-1,-13,-13,,,,,,8,6.9,5.5,3,,,,
2023-02-07,1.1,-2.55,-3.6,-8.3,,-12,93,81.8,82.5,72,-2.5,-5.3,-5.5,-8.4,30,20.62,16.5,3,33,22,101.24,100.93,100.91,100.59,95.05,94.75,94.75,94.45,24100,24100,24100,24100,3.6,2.9,3,2.5,21.6,0,0,0,0,0,,,20,08:38:00,18:04:00,9.43,8.63,18.07,1,1,3,3,-7,-6,,,,,,7,4.6,4,1,,,,
2023-02-06,0.1,-2.65,-3.6,-7.3,,-12,91,78.8,77.5,64,-1.8,-5.9,-5.2,-8.7,48,25.46,27,6,49,29,100.93,100.56,100.38,99.82,94.76,94.42,94.24,93.72,24100,23766.7,20100,16100,3.2,2.6,2.8,2.3,21.6,0,0,0,0,0.4,,,20,08:39:00,18:02:00,9.38,8.65,18.03,1,1,-1,0,-6,-6,,,,,,8,4,4,0,,,,
2023-02-05,-0.6,-4.3,-5.8,-11,,-17,95,84.2,82,69,-3.1,-6.6,-7.6,-12.1,25,15.21,15,5,31,18,101.29,100.56,100.53,99.76,95.07,94.38,94.35,93.63,24100,23433.3,20100,16100,,,,,23.8,0,0,0,0,0,,,20,08:41:00,18:00:00,9.32,8.68,18,1,1,-2,-2,-3,-3,,,,,,8,5.3,4.5,1,,,,
2023-02-04,-3,-5.86,-6.2,-9.4,,-12,92,87.2,84.5,77,-5.7,-7.7,-8.4,-11.1,12,6.96,6.5,1,,,101.31,100.96,100.98,100.65,95.09,94.73,94.75,94.41,24100,18479.2,13650,3200,4.9,3.5,3.8,2.6,24.2,0,0,0,0,2.2,,,18,08:43:00,17:58:00,9.25,8.72,17.97,,,-5,-5,-11,-9,,,,,,8,7.1,5,2,,,,
2023-02-03,-9.2,-14.65,-14.75,-20.3,,-32,84,76.1,76.5,69,-11.7,-18,-17.8,-23.8,26,14.42,14.5,3,36,15,102.45,101.31,101.59,100.73,95.93,94.92,95.19,94.44,24100,24100,24100,24100,3.8,2.9,3.1,2.4,32.8,0,0,0,0,0,,,18,08:45:00,17:57:00,9.2,8.75,17.95,1,1,-8,-8,-11,-10,,,,,,8,5.1,5,2,,,,
2023-02-02,-19.6,-26.63,-27.7,-35.8,,-44,76,69.4,66,56,-23.6,-30.7,-30.5,-37.4,27,12.62,14,1,31,13,104,103.56,103.28,102.57,97.28,96.91,96.65,96.03,24100,24100,24100,24100,4.2,3.1,3.3,2.4,45.7,0,0,0,0,0,,,17,08:46:00,17:55:00,9.15,8.77,17.92,1,1,-22,-22,-22,-21,,,,,,8,4.2,4,0,,,,
2023-02-01,-15.2,-21.03,-22.54,-29.9,,-41,85,76.8,75.5,66,-17.6,-24.1,-25.6,-33.6,30,11.75,15.5,1,43,3,103.49,102.34,102.66,101.83,96.9,95.85,96.16,95.41,24100,19516.7,12850,1600,3.8,3,3,2.3,40.5,0,0,0,0,0.3,,,18,08:48:00,17:53:00,9.08,8.8,17.88,,,-16,-16,-37,-35,,,,,,8,4.8,4,0,,,,
2023-01-31,-16.3,-19.55,-20.85,-25.4,,-31,81,79.1,79,77,-19.5,-22.3,-23.4,-27.4,13,6.83,7,1,,,102.06,101.92,101.95,101.84,95.54,95.45,95.47,95.39,24100,17558.3,14450,4800,3.6,3.1,3.1,2.7,38.9,0,0,0,0,0.3,,,18,08:49:00,17:51:00,9.03,8.82,17.85,1,1,-16,-16,-20,-20,,,,,,8,7.8,6.5,5,,,,
